variable;name;label
food_18;6;never or almost never
food_18;8;do not know
food_18;9;Refusal to answer
food_28;1;daily or almost daily
food_28;2;several times a week
food_28;3;about once a week
food_28;4;several times a month
food_28;5;once a month or less often
food_28;6;never or almost never
food_28;8;do not know
food_28;9;Refusal to answer
food_27;1;daily or almost daily
food_27;2;several times a week
food_27;3;about once a week
food_27;4;several times a month
food_27;5;once a month or less often
food_27;6;never or almost never
food_27;8;do not know
food_27;9;Refusal to answer
food_30;1;daily or almost daily
food_30;2;several times a week
food_30;3;about once a week
food_30;4;several times a month
food_30;5;once a month or less often
food_30;6;never or almost never
food_30;8;do not know
food_30;9;Refusal to answer
food_31;1;daily or almost daily
food_31;2;several times a week
food_31;3;about once a week
food_31;4;several times a month
food_31;5;once a month or less often
food_31;6;never or almost never
food_31;8;do not know
food_31;9;Refusal to answer
kaffee;98;do not know
kaffee;99;Refusal to answer
tee;0;nothing
tee;98;do not know
tee;99;Refusal to answer
food_32;1;daily or almost daily
food_32;2;several times a week
food_32;3;about once a week
food_32;4;several times a month
food_32;5;once a month or less often
food_32;6;never or almost never
food_32;8;do not know
food_32;9;Refusal to answer
weinwe;0;nothing
weinwe;98;do not know
weinwe;99;Refusal to answer
weinwt;0;nothing
weinwt;98;do not know
weinwt;99;Refusal to answer
bierwe;0;nothing
bierwe;98;do not know
bierwe;99;Refusal to answer
bierwt;0;nothing
bierwt;98;do not know
bierwt;99;Refusal to answer
schnwe;0;nothing
schnwe;98;do not know
schnwe;99;Refusal to answer
schnwt;0;nothing
schnwt;98;do not know
schnwt;99;Refusal to answer
food_29;1;daily or almost daily
food_29;2;several times a week
food_29;3;about once a week
food_29;4;several times a month
food_29;5;once a month or less often
food_29;6;never or almost never
food_29;8;do not know
food_29;9;Refusal to answer
